,maximum,minimum,mean,std,index
0,125533.0,125519.0,125525.16666666667,4.099457700267109,16
1,125534.0,125519.0,125525.66666666667,4.384315382646613,16
2,125534.0,125518.0,125525.46666666666,4.432706796261848,20
3,125534.0,125519.0,125525.43333333333,4.192718670123451,20
