,maximum,minimum,mean,std,index
0,146,96,129.6,12.408599168856055,7
1,148,91,127.53333333333333,13.80032205743366,29
2,149,89,129.26666666666668,14.357189449501766,19
3,148,87,130.73333333333332,14.64680473307723,29
